From,To,Onboard_private,Onboard_business,Onboard_total
Aleholm,Stockaryd,158.79719461538465,39.2949576923077,198.09215230769234
Aleholm,Sävsjö,153.3458753846154,37.0032,190.3490753846154
Alvesta,Blädinge,140.96811769230771,34.619511538461545,175.58762923076924
Alvesta,Gåvetorp,153.3458753846154,37.0032,190.3490753846154
Aneby,Flisby,165.06260230769234,39.72730384615385,204.78990615384618
Aneby,Ralingsås,159.26250615384618,37.163,196.42550615384613
Arlöv,Burlöv,78.48471538461538,23.38663846153846,101.87135384615385
Arlöv,Malmö godsbangård,81.2552676923077,22.34729076923078,103.60255846153846
Ballingslöv,Hässleholm,140.96811769230771,34.619511538461545,175.58762923076924
Ballingslöv,Mosselund,136.81624461538462,34.44532846153846,171.26157307692307
Björnkulla,Flemingsberg,136.4862746153846,32.88752076923077,169.37379538461533
Björnkulla,Malmsjö,139.40875384615384,35.080984615384615,174.48973846153845
Björnlunda,Kolke,139.2966292307692,33.12858615384615,172.42521538461537
Björnlunda,Stjärnhov,144.03176000000002,36.065740769230764,180.09750076923078
Blädinge,Alvesta,136.81624461538462,34.44532846153846,171.26157307692307
Blädinge,Vislanda,140.96811769230771,34.619511538461545,175.58762923076924
Bodafors,Grimstorp,153.3458753846154,37.0032,190.3490753846154
Bodafors,Ulvstorp,158.79719461538465,39.2949576923077,198.09215230769234
Boxholm,Lindekullen,159.26250615384618,37.163,196.42550615384613
Boxholm,Sommen,165.06260230769234,39.72730384615385,204.78990615384618
Bränninge,Järna,144.03176000000002,36.065740769230764,180.09750076923078
Bränninge,Södertälje syd övre,139.2966292307692,33.12858615384615,172.42521538461537
Burlöv,Arlöv,81.2552676923077,22.34729076923078,103.60255846153846
Burlöv,Åkarp,78.48471538461538,23.38663846153846,101.87135384615385
Dammstorp,Eslöv,110.33884846153848,29.56352384615385,139.90237230769233
Dammstorp,Örtofta,114.93503230769231,29.63283230769232,144.56786461538462
Diö Norra,Diö Södra,140.96811769230771,34.619511538461545,175.58762923076924
Diö Norra,Eneryda,136.81624461538462,34.44532846153846,171.26157307692307
Diö Södra,Diö Norra,136.81624461538462,34.44532846153846,171.26157307692307
Diö Södra,Älmhult,140.96811769230771,34.619511538461545,175.58762923076924
Eneryda,Diö Norra,140.96811769230771,34.619511538461545,175.58762923076924
Eneryda,Vislanda,136.81624461538462,34.44532846153846,171.26157307692307
Eslöv,Dammstorp,114.93503230769231,29.63283230769232,144.56786461538462
Eslöv,Stehag,110.63889923076924,29.604506923076926,140.24340615384617
Fiskeby,Kimstad,148.29670230769233,36.571592307692306,184.86829461538463
Fiskeby,Norrköpings central,147.82399846153845,34.87767692307692,182.70167538461536
Flackarp,Hjärup,81.2552676923077,22.34729076923078,103.60255846153846
Flackarp,Klostergården,78.48471538461538,23.38663846153846,101.87135384615385
Flemingsberg,Björnkulla,139.40875384615384,35.080984615384615,174.48973846153845
Flemingsberg,Huddinge,121.46648999999996,31.254420769230766,152.72091076923073
Flen,Skebokvarn,139.2966292307692,33.12858615384615,172.42521538461537
Flen,Sköldinge,144.03176000000002,36.065740769230764,180.09750076923078
Flisby,Aneby,159.26250615384618,37.163,196.42550615384613
Flisby,Vimnarp,165.06260230769234,39.72730384615385,204.78990615384618
Frinnaryd,Gripenberg,159.26250615384618,37.163,196.42550615384613
Frinnaryd,Ralingsås,165.06260230769234,39.72730384615385,204.78990615384618
Gamlarp,Nässjö central,165.06260230769234,39.72730384615385,204.78990615384618
Gamlarp,Vimnarp,159.26250615384618,37.163,196.42550615384613
Gistad,Linghem,148.29670230769233,36.571592307692306,184.86829461538463
Gistad,Norsholm,147.82399846153845,34.87767692307692,182.70167538461536
Gnesta,Kolke,144.03176000000002,36.065740769230764,180.09750076923078
Gnesta,Mölnbo,139.2966292307692,33.12858615384615,172.42521538461537
Grevaryd,Lammhult,153.3458753846154,37.0032,190.3490753846154
